Area,Instructions,Size,Priority,Bandwidth,Delay,Score,Allocated_Worker
2,222,23,0.0,2,93,8.04,3
2,236,24,0.0,15,88,13.32,3
3,248,30,0.0,17,99,2.88,3
2,278,28,0.0,17,81,20.16,3
1,248,30,0.0,24,96,6.0,3
1,254,24,0.0,8,87,14.04,3
3,267,24,0.0,10,74,26.64,3
2,255,23,0.0,6,74,26.4,3
2,284,24,0.0,16,73,27.84,3
2,240,27,0.0,12,90,11.28,3
2,291,23,0.0,21,100,2.04,3
3,234,25,0.0,19,87,14.52,3
3,260,25,0.0,22,91,10.8,3
3,217,26,0.0,8,73,27.48,3
2,242,28,0.0,21,92,9.72,3
3,270,23,0.0,6,86,14.88,3
1,264,29,0.0,24,83,18.48,3
3,285,30,0.0,19,90,11.64,3
3,280,22,0.0,7,96,5.4,3
2,284,28,0.0,23,100,2.16,3
3,287,21,0.0,8,97,4.44,3
3,230,24,0.0,16,79,22.08,3
1,234,23,0.0,20,84,17.4,3
2,229,21,0.0,1,86,14.76,3
2,289,21,0.0,21,89,12.6,3
3,262,29,0.0,8,79,21.72,3
1,234,29,0.0,11,83,18.0,3
3,246,23,0.0,11,97,4.56,3
3,278,26,0.0,22,80,21.36,3
1,287,21,0.0,18,79,22.08,3
3,292,22,0.0,20,90,11.64,3
2,234,24,0.0,13,84,17.16,3
1,258,27,0.0,7,73,27.48,3
1,257,24,0.0,24,83,18.48,3
3,276,30,0.0,21,87,14.52,3
1,267,23,0.0,16,91,10.56,3
1,290,22,0.0,22,76,25.2,3
1,220,21,0.0,4,84,16.8,3
1,218,21,0.0,19,84,17.4,3
1,205,27,0.0,4,99,2.4,3
1,263,23,0.0,7,76,24.6,3
3,244,24,0.0,7,94,7.32,3
1,272,22,0.0,11,95,6.48,3
1,269,21,0.0,15,98,3.72,3
2,291,28,0.0,20,78,23.16,3
2,249,22,0.0,19,96,5.88,3
2,204,29,0.0,3,82,18.6,3
1,239,23,0.0,1,74,26.28,3
2,246,26,0.0,1,83,17.64,3
1,295,30,0.0,23,89,12.72,3
2,287,26,0.0,3,71,29.16,3
1,290,27,0.0,11,78,22.8,3
3,263,21,0.0,23,83,18.48,3
2,238,21,0.0,17,75,25.92,3
3,297,23,0.0,24,100,2.16,3
3,275,30,0.0,17,71,29.76,3
1,271,26,0.0,18,72,28.8,3
3,265,24,0.0,23,99,3.12,3
3,226,30,0.0,3,87,13.8,3
3,255,25,0.0,14,100,1.8,3
3,293,25,0.0,22,95,6.96,3
1,237,29,0.0,15,89,12.36,3
2,246,30,0.0,2,85,15.72,3
3,264,21,0.0,18,93,8.64,3
3,258,23,0.0,15,73,27.72,3
3,299,23,0.0,12,93,8.4,3
1,219,24,0.0,15,76,24.84,3
1,290,25,0.0,2,77,23.4,3
1,250,30,0.0,2,74,26.28,3
3,280,25,0.0,14,97,4.68,3
3,221,24,0.0,5,88,12.96,3
2,297,27,0.0,7,71,29.4,3
1,244,29,0.0,4,78,22.56,3
2,252,25,0.0,15,81,20.04,3
2,263,30,0.0,23,74,27.12,3
1,210,24,0.0,2,96,5.16,3
1,225,21,0.0,7,81,19.8,3
3,206,29,0.0,18,74,26.88,3
3,276,27,0.0,10,75,25.68,3
3,279,28,0.0,5,86,14.88,3
3,281,23,0.0,22,72,29.04,3
2,273,28,0.0,2,78,22.44,3
2,283,23,0.0,9,98,3.48,3
3,279,22,0.0,4,78,22.56,3
2,244,27,0.0,22,75,26.16,3
2,229,23,0.0,17,74,26.88,3
3,288,21,0.0,4,96,5.28,3
1,207,29,0.0,15,82,19.08,3
2,210,27,0.0,17,75,25.92,3
2,253,23,0.0,14,91,10.44,3
1,298,27,0.0,11,79,21.84,3
1,256,22,0.0,19,92,9.72,3
3,209,30,0.0,2,98,3.24,3
1,234,23,0.0,7,72,28.44,3
3,241,24,0.0,5,91,10.08,3
3,206,25,0.0,17,96,5.76,3
2,277,30,0.0,19,100,2.04,3
2,209,28,0.0,23,74,27.12,3
1,232,30,0.0,1,93,8.04,3
3,227,25,0.0,11,90,11.28,3
1,253,30,0.0,17,74,26.88,3
1,285,23,0.0,9,90,11.16,3
3,207,29,0.0,7,77,23.64,3
3,299,23,0.0,12,81,19.92,3
3,297,28,0.0,20,72,28.92,3
1,228,21,0.0,4,73,27.36,3
3,296,29,0.0,14,75,25.8,3
1,201,23,0.0,3,80,20.52,3
1,201,28,0.0,21,97,4.92,3
1,204,29,0.0,13,82,19.08,3
1,279,28,0.0,9,73,27.48,3
1,277,21,0.0,6,79,21.6,3
3,286,28,0.0,12,95,6.48,3
2,214,23,0.0,8,80,20.76,3
1,290,27,0.0,14,99,2.76,3
3,203,27,0.0,24,95,6.96,3
1,289,23,0.0,6,89,12.0,3
3,253,25,0.0,23,99,3.12,3
3,249,23,0.0,4,96,5.28,3
2,236,21,0.0,11,79,21.84,3
3,297,24,0.0,23,76,25.2,3
1,292,24,0.0,2,73,27.24,3
1,266,25,0.0,2,93,8.04,3
2,270,30,0.0,5,77,23.52,3
3,294,27,0.0,18,75,25.92,3
2,272,28,0.0,1,77,23.4,3
1,262,27,0.0,3,71,29.16,3
1,206,30,0.0,23,82,19.44,3
2,268,26,0.0,3,94,7.08,3
2,254,21,0.0,10,71,29.52,3
3,300,23,0.0,6,90,11.04,3
2,208,30,0.0,17,98,3.84,3
3,228,21,0.0,4,76,24.48,3
3,234,21,0.0,22,100,2.16,3
2,253,21,0.0,22,71,30.0,3
2,290,29,0.0,20,90,11.64,3
1,215,28,0.0,5,100,1.44,3
1,291,27,0.0,10,91,10.32,3
2,229,26,0.0,22,92,9.84,3
2,275,29,0.0,16,74,26.88,3
2,279,25,0.0,9,80,20.76,3
3,255,28,0.0,6,94,7.2,3
1,270,25,0.0,12,73,27.6,3
1,203,22,0.0,19,76,25.08,3
3,275,23,0.0,4,99,2.4,3
1,289,23,0.0,24,97,5.04,3
3,207,25,0.0,11,99,2.64,3
3,206,26,0.0,15,71,29.64,3
2,264,27,0.0,17,91,10.56,3
3,285,21,0.0,1,71,29.16,3
1,227,27,0.0,24,95,6.96,3
2,218,24,0.0,13,75,25.8,3
2,293,29,0.0,12,95,6.48,3
3,217,21,0.0,17,71,29.76,3
2,272,25,0.0,20,88,13.56,3
3,243,27,0.0,23,95,6.96,3
1,284,27,0.0,18,74,26.88,3
1,223,22,0.0,24,89,12.72,3
2,295,29,0.0,11,72,28.56,3
1,208,29,0.0,6,83,17.76,3
3,245,28,0.0,24,94,7.92,3
3,276,26,0.0,11,99,2.64,3
1,226,24,0.0,23,97,5.04,3
3,290,21,0.0,10,92,9.36,3
2,242,30,0.0,6,83,17.76,3
1,295,25,0.0,9,92,9.24,3
1,252,23,0.0,9,72,28.44,3
2,227,23,0.0,6,80,20.64,3
1,274,25,0.0,1,97,4.2,3
1,288,25,0.0,9,80,20.76,3
2,243,28,0.0,8,75,25.56,3
1,254,24,0.0,20,100,2.04,3
2,206,26,0.0,22,94,7.92,3
1,221,24,0.0,19,92,9.72,3
3,250,26,0.0,22,78,23.28,3
3,255,28,0.0,7,76,24.6,3
2,227,30,0.0,10,97,4.56,3
2,269,24,0.0,12,92,9.36,3
2,237,29,0.0,22,75,26.16,3
2,271,21,0.0,4,84,16.8,3
2,234,24,0.0,1,71,29.16,3
2,259,21,0.0,17,79,22.08,3
2,297,26,0.0,4,87,13.92,3
2,233,23,0.0,4,100,1.44,3
1,225,24,0.0,10,75,25.68,3
2,245,22,0.0,18,99,2.88,3
2,220,29,0.0,17,87,14.4,3
3,241,22,0.0,14,96,5.64,3
3,217,23,0.0,14,80,21.0,3
3,207,22,0.0,19,93,8.76,3
2,273,26,0.0,9,84,16.92,3
1,255,25,0.0,16,91,10.56,3
2,202,29,0.0,11,93,8.4,3
1,210,27,0.0,21,97,4.92,3
1,300,29,0.0,12,77,23.76,3
2,201,22,0.0,9,85,15.96,3
3,299,30,0.0,21,79,22.2,3
2,288,25,0.0,8,90,11.16,3
1,277,29,0.0,19,94,7.8,3
1,262,29,0.0,20,80,21.24,3
2,211,23,0.0,21,83,18.36,3
1,211,21,0.0,13,78,22.92,3
2,291,28,0.0,10,99,2.64,3
3,287,23,0.0,17,78,23.04,3
2,272,28,0.0,11,74,26.64,3
2,279,30,0.0,18,89,12.48,3
3,276,23,0.0,15,80,21.0,3
2,254,22,0.0,4,88,12.96,3
1,263,30,0.0,8,100,1.56,3
3,262,22,0.0,3,74,26.28,3
2,235,26,0.0,17,85,16.32,3
2,263,27,0.0,21,72,28.92,3
2,224,27,0.0,24,86,15.6,3
3,214,25,0.0,18,98,3.84,3
2,292,23,0.0,2,80,20.52,3
2,207,26,0.0,10,85,16.08,3
1,281,30,0.0,1,90,10.92,3
1,215,23,0.0,24,86,15.6,3
3,258,23,0.0,24,71,30.0,3
1,293,22,0.0,19,89,12.6,3
1,287,30,0.0,3,78,22.44,3
1,215,24,0.0,17,91,10.56,3
3,247,26,0.0,12,79,21.84,3
3,241,28,0.0,20,73,27.96,3
1,245,29,0.0,13,98,3.72,3
2,227,22,0.0,21,94,7.8,3
3,240,23,0.0,2,79,21.48,3
2,269,30,0.0,10,97,4.56,3
1,270,21,0.0,17,79,22.08,3
3,289,30,0.0,2,88,12.84,3
1,245,30,0.0,23,99,3.12,3
3,245,23,0.0,7,75,25.56,3
1,207,26,0.0,17,90,11.52,3
3,296,21,0.0,6,95,6.24,3
1,284,27,0.0,14,80,21.0,3
3,243,24,0.0,5,76,24.48,3
1,283,22,0.0,11,88,13.2,3
2,203,27,0.0,9,75,25.56,3
3,219,24,0.0,3,71,29.16,3
3,282,28,0.0,6,74,26.4,3
3,252,22,0.0,21,88,13.56,3
1,250,29,0.0,5,74,26.4,3
1,251,24,0.0,16,87,14.4,3
3,247,30,0.0,2,97,4.2,3
2,217,30,0.0,14,99,2.76,3
1,207,25,0.0,4,81,19.68,3
1,208,23,0.0,14,80,21.0,3
2,269,22,0.0,20,71,29.88,3
3,239,28,0.0,15,71,29.64,3
1,259,22,0.0,1,82,18.6,3
2,300,22,0.0,10,74,26.64,3
1,243,25,0.0,12,84,17.04,3
1,259,25,0.0,5,89,12.0,3
1,243,30,0.0,18,89,12.48,3
2,208,26,0.0,13,83,18.12,3
2,293,30,0.0,19,85,16.44,3
2,276,25,0.0,6,86,14.88,3
3,289,24,0.0,12,100,1.68,3
2,202,26,0.0,20,74,27.0,3
2,281,22,0.0,4,71,29.28,3
2,274,26,0.0,16,77,24.0,3
1,233,28,0.0,21,97,4.92,3
3,228,21,0.0,5,96,5.28,3
3,224,29,0.0,10,91,10.32,3
3,253,29,0.0,15,95,6.6,3
2,299,26,0.0,21,71,29.88,3
1,231,23,0.0,6,79,21.6,3
2,290,24,0.0,19,79,22.2,3
3,257,25,0.0,3,97,4.2,3
2,252,22,0.0,12,90,11.28,3
2,257,23,0.0,13,77,23.88,3
1,205,24,0.0,22,72,29.04,3
1,281,25,0.0,4,87,13.92,3
2,236,25,0.0,13,89,12.36,3
3,214,30,0.0,10,82,18.96,3
2,264,23,0.0,12,77,23.76,3
1,225,24,0.0,11,94,7.44,3
1,211,28,0.0,15,93,8.52,3
2,292,30,0.0,3,87,13.8,3
3,242,25,0.0,3,89,11.88,3
3,266,22,0.0,3,91,9.96,3
1,277,27,0.0,13,75,25.8,3
3,237,30,0.0,21,94,7.8,3
3,268,30,0.0,16,99,2.88,3
2,228,24,0.0,15,73,27.72,3
1,287,29,0.0,4,74,26.4,3
3,260,24,0.0,5,84,16.8,3
1,247,25,0.0,4,83,17.76,3
3,251,22,0.0,15,72,28.68,3
2,278,30,0.0,3,84,16.68,3
1,275,26,0.0,12,72,28.56,3
2,254,23,0.0,23,78,23.28,3
3,222,23,0.0,4,100,1.44,3
3,269,27,0.0,22,92,9.84,3
1,233,28,0.0,20,74,27.0,3
1,206,28,0.0,21,78,23.16,3
2,233,28,0.0,22,92,9.84,3
2,236,24,0.0,17,77,24.0,3
3,229,21,0.0,22,79,22.32,3
2,230,24,0.0,14,95,6.6,3
2,236,27,0.0,3,93,8.04,3
3,203,27,0.0,16,83,18.24,3
3,251,22,0.0,10,81,19.92,3
3,215,25,0.0,14,78,22.92,3
3,221,24,0.0,13,93,8.52,3
1,248,25,0.0,1,85,15.72,3
3,245,29,0.0,11,96,5.52,3
3,236,29,0.0,7,95,6.36,3
2,242,22,0.0,6,100,1.44,3
2,294,25,0.0,2,81,19.56,3
1,239,24,0.0,24,91,10.8,3
3,201,23,0.0,19,78,23.16,3
3,287,24,0.0,6,74,26.4,3
2,238,27,0.0,24,82,19.44,3
1,287,26,0.0,1,87,13.8,3
1,238,28,0.0,6,93,8.16,3
3,256,26,0.0,23,86,15.6,3
2,290,23,0.0,14,73,27.72,3
3,276,24,0.0,3,92,9.0,3
3,231,23,0.0,10,74,26.64,3
3,258,26,0.0,2,92,9.0,3
1,210,29,0.0,22,92,9.84,3
2,286,29,0.0,16,85,16.32,3
1,265,21,0.0,3,87,13.8,3
3,257,25,0.0,17,79,22.08,3
2,256,29,0.0,9,74,26.52,3
3,212,24,0.0,16,97,4.8,3
3,295,29,0.0,22,86,15.6,3
2,287,28,0.0,13,94,7.56,3
2,212,27,0.0,4,79,21.6,3
3,276,24,0.0,2,98,3.24,3
1,279,25,0.0,9,87,14.04,3
3,293,23,0.0,18,97,4.8,3
1,270,24,0.0,6,84,16.8,3
1,248,30,0.0,20,81,20.28,3
1,259,28,0.0,2,79,21.48,3
2,300,23,0.0,19,78,23.16,3
2,202,29,0.0,6,79,21.6,3
2,239,30,0.0,10,80,20.88,3
3,214,30,0.0,7,96,5.4,3
1,273,25,0.0,5,79,21.6,3
1,237,23,0.0,23,97,5.04,3
3,221,26,0.0,8,73,27.48,3
1,268,26,0.0,6,74,26.4,3
2,232,21,0.0,7,79,21.72,3
2,261,22,0.0,23,84,17.52,3
1,280,26,0.0,17,82,19.2,3
1,272,22,0.0,16,71,29.76,3
1,291,22,0.0,17,93,8.64,3
3,300,25,0.0,18,99,2.88,3
2,217,22,0.0,4,76,24.48,3
1,292,25,0.0,9,79,21.72,3
2,234,27,0.0,24,85,16.56,3
1,214,27,0.0,20,80,21.24,3
1,288,24,0.0,1,75,25.32,3
3,221,24,0.0,19,81,20.28,3
2,258,24,0.0,14,72,28.68,3
1,289,22,0.0,1,93,8.04,3
1,240,26,0.0,15,75,25.8,3
2,241,29,0.0,12,87,14.16,3
1,228,29,0.0,19,81,20.28,3
1,216,25,0.0,16,80,21.12,3
2,202,22,0.0,2,97,4.2,3
3,203,27,0.0,11,94,7.44,3
1,295,23,0.0,2,88,12.84,3
3,235,30,0.0,14,73,27.72,3
1,214,23,0.0,7,72,28.44,3
2,293,26,0.0,4,100,1.44,3
3,275,22,0.0,8,82,18.84,3
1,230,26,0.0,1,71,29.16,3
3,250,29,0.0,20,87,14.52,3
2,279,21,0.0,4,89,12.0,3
3,241,27,0.0,7,74,26.52,3
2,250,23,0.0,8,74,26.52,3
1,258,30,0.0,11,100,1.68,3
2,203,26,0.0,10,88,13.2,3
2,229,26,0.0,24,83,18.48,3
2,265,27,0.0,16,98,3.84,3
3,250,21,0.0,21,81,20.28,3
1,288,23,0.0,21,84,17.4,3
3,229,24,0.0,14,74,26.76,3
2,246,28,0.0,19,85,16.44,3
2,219,27,0.0,12,80,20.88,3
2,299,30,0.0,23,86,15.6,3
1,228,25,0.0,22,87,14.64,3
3,245,25,0.0,16,87,14.4,3
2,296,24,0.0,17,98,3.84,3
2,215,23,0.0,9,76,24.6,3
3,261,22,0.0,12,99,2.64,3
1,279,27,0.0,8,78,22.68,3
1,288,26,0.0,5,99,2.4,3
1,201,21,0.0,12,97,4.56,3
1,284,30,0.0,12,76,24.72,3
3,274,24,0.0,24,96,6.0,3
3,251,28,0.0,23,95,6.96,3
2,267,22,0.0,22,96,6.0,3
1,297,28,0.0,22,88,13.68,3
3,269,26,0.0,10,77,23.76,3
1,258,22,0.0,22,80,21.36,3
3,249,27,0.0,2,77,23.4,3
2,243,24,0.0,20,88,13.56,3
3,240,28,0.0,16,100,1.92,3
1,252,28,0.0,9,80,20.76,3
3,240,29,0.0,16,98,3.84,3
3,209,21,0.0,9,95,6.36,3
3,247,29,0.0,19,91,10.68,3
3,280,22,0.0,2,95,6.12,3
1,282,24,0.0,7,71,29.4,3
2,235,21,0.0,18,87,14.4,3
1,228,23,0.0,8,84,16.92,3
1,276,29,0.0,23,87,14.64,3
2,225,22,0.0,9,99,2.52,3
1,300,30,0.0,2,72,28.2,3
3,288,25,0.0,11,99,2.64,3
2,266,23,0.0,2,74,26.28,3
3,214,29,0.0,5,79,21.6,3
2,204,30,0.0,23,72,29.04,3
1,236,27,0.0,4,86,14.88,3
3,284,21,0.0,17,77,24.0,3
2,288,25,0.0,5,98,3.36,3
1,255,30,0.0,23,75,26.16,3
3,219,29,0.0,13,96,5.64,3
1,243,23,0.0,19,90,11.64,3
3,273,27,0.0,3,78,22.44,3
2,203,27,0.0,18,80,21.12,3
3,223,28,0.0,19,86,15.48,3
3,297,27,0.0,3,97,4.2,3
2,295,24,0.0,23,79,22.32,3
2,270,24,0.0,23,73,28.08,3
1,274,25,0.0,17,97,4.8,3
3,260,29,0.0,18,100,1.92,3
3,240,22,0.0,14,93,8.52,3
1,241,30,0.0,8,78,22.68,3
3,267,28,0.0,1,92,9.0,3
1,214,23,0.0,15,98,3.72,3
2,283,25,0.0,17,99,2.88,3
1,220,28,0.0,15,91,10.44,3
2,261,27,0.0,15,79,21.96,3
1,280,29,0.0,8,95,6.36,3
2,284,26,0.0,2,79,21.48,3
2,205,28,0.0,19,72,28.92,3
1,215,30,0.0,21,93,8.76,3
3,283,29,0.0,6,80,20.64,3
2,247,26,0.0,3,71,29.16,3
2,249,23,0.0,8,82,18.84,3
3,282,21,0.0,14,86,15.24,3
1,234,27,0.0,9,92,9.24,3
3,258,22,0.0,6,98,3.36,3
2,252,24,0.0,21,84,17.4,3
3,277,27,0.0,6,100,1.44,3
2,286,28,0.0,7,96,5.4,3
1,257,21,0.0,16,84,17.28,3
2,225,22,0.0,1,93,8.04,3
3,271,22,0.0,19,72,28.92,3
1,279,30,0.0,16,88,13.44,3
2,300,30,0.0,9,99,2.52,3
2,275,24,0.0,15,99,2.76,3
2,256,28,0.0,4,100,1.44,3
1,244,28,0.0,16,75,25.92,3
3,207,29,0.0,2,100,1.32,3
1,210,27,0.0,18,78,23.04,3
2,266,27,0.0,9,100,1.56,3
1,227,21,0.0,4,81,19.68,3
2,231,24,0.0,11,97,4.56,3
3,298,29,0.0,22,98,4.08,3
2,284,30,0.0,12,71,29.52,3
1,219,25,0.0,8,96,5.4,3
1,283,25,0.0,16,76,24.96,3
1,230,23,0.0,19,81,20.28,3
2,296,27,0.0,10,79,21.84,3
3,227,30,0.0,6,71,29.28,3
2,290,24,0.0,5,91,10.08,3
3,222,25,0.0,9,97,4.44,3
3,212,27,0.0,6,89,12.0,3
3,291,26,0.0,19,97,4.92,3
1,261,25,0.0,18,76,24.96,3
1,244,29,0.0,19,88,13.56,3
2,274,21,0.0,22,97,5.04,3
1,259,23,0.0,10,90,11.28,3
1,300,30,0.0,20,90,11.64,3
2,234,28,0.0,20,79,22.2,3
2,244,24,0.0,23,100,2.16,3
1,214,26,0.0,1,94,7.08,3
2,271,21,0.0,14,98,3.72,3
1,266,25,0.0,7,95,6.36,3
3,226,23,0.0,1,76,24.36,3
3,201,22,0.0,13,91,10.44,3
2,286,22,0.0,15,82,19.08,3
1,280,22,0.0,21,77,24.12,3
3,263,24,0.0,23,85,16.56,3
2,210,24,0.0,11,72,28.56,3
1,244,23,0.0,9,81,19.8,3
1,273,28,0.0,9,92,9.24,3
3,213,24,0.0,13,92,9.48,3
1,239,24,0.0,6,93,8.16,3
3,293,25,0.0,24,93,8.88,3
3,259,25,0.0,15,84,17.16,3
1,255,29,0.0,11,85,16.08,3
2,300,30,0.0,16,97,4.8,3
1,218,29,0.0,16,98,3.84,3
1,208,25,0.0,4,99,2.4,3
2,300,29,0.0,6,80,20.64,3
1,278,30,0.0,14,94,7.56,3
3,246,25,0.0,1,96,5.16,3
3,247,23,0.0,17,95,6.72,3
2,294,25,0.0,2,78,22.44,3
1,298,25,0.0,16,88,13.44,3
1,278,24,0.0,17,82,19.2,3
1,220,25,0.0,14,76,24.84,3
2,230,27,0.0,2,71,29.16,3
1,274,24,0.0,11,89,12.24,3
3,247,21,0.0,7,96,5.4,3
3,247,24,0.0,18,78,23.04,3
3,290,21,0.0,19,71,29.88,3
1,228,22,0.0,8,82,18.84,3
3,220,22,0.0,9,73,27.48,3
3,275,22,0.0,18,93,8.64,3
1,211,27,0.0,3,95,6.12,3
2,209,27,0.0,24,74,27.12,3
2,228,23,0.0,6,79,21.6,3
3,237,22,0.0,6,99,2.4,3
2,234,22,0.0,12,91,10.32,3
1,207,23,0.0,10,97,4.56,3
1,233,27,0.0,24,72,29.04,3
2,290,21,0.0,7,79,21.72,3
3,205,24,0.0,6,95,6.24,3
3,287,23,0.0,13,98,3.72,3
3,292,23,0.0,10,87,14.16,3
3,270,23,0.0,16,77,24.0,3
3,247,22,0.0,7,89,12.12,3
3,227,27,0.0,1,96,5.16,3
3,219,23,0.0,15,82,19.08,3
2,243,27,0.0,8,97,4.44,3
2,229,26,0.0,22,82,19.44,3
3,267,27,0.0,2,92,9.0,3
3,206,24,0.0,5,99,2.4,3
1,268,26,0.0,24,86,15.6,3
1,270,29,0.0,15,77,23.88,3
3,270,25,0.0,8,75,25.56,3
1,255,27,0.0,11,94,7.44,3
3,256,23,0.0,1,100,1.0,3
1,269,26,0.0,18,76,24.96,3
1,233,24,0.0,12,84,17.04,3
2,259,30,0.0,7,100,1.56,3
3,207,21,0.0,15,79,21.96,3
1,299,28,0.0,14,75,25.8,3
3,204,28,0.0,6,92,9.12,3
2,266,29,0.0,5,98,3.36,3
2,227,21,0.0,21,77,24.12,3
2,236,22,0.0,15,96,5.64,3
2,228,25,0.0,18,90,11.52,3
1,269,29,0.0,19,91,10.68,3
3,292,23,0.0,12,99,2.64,3
3,216,26,0.0,11,86,15.12,3
1,264,26,0.0,22,77,24.24,3
2,226,26,0.0,6,74,26.4,3
1,298,29,0.0,15,83,18.12,3
1,283,22,0.0,9,86,15.0,3
3,210,21,0.0,19,82,19.32,3
2,225,22,0.0,19,89,12.6,3
2,238,30,0.0,8,96,5.4,3
1,229,24,0.0,5,87,13.92,3
1,208,27,0.0,22,71,30.0,3
1,297,23,0.0,12,98,3.6,3
2,256,29,0.0,23,82,19.44,3
2,212,23,0.0,1,77,23.4,3
1,258,30,0.0,1,93,8.04,3
1,299,26,0.0,19,81,20.28,3
3,246,28,0.0,21,71,29.88,3
2,273,21,0.0,20,76,25.08,3
1,219,21,0.0,5,73,27.36,3
2,297,27,0.0,14,78,22.92,3
2,258,29,0.0,9,78,22.68,3
1,244,25,0.0,6,88,12.96,3
1,205,25,0.0,10,82,18.96,3
3,226,29,0.0,1,96,5.16,3
3,215,21,0.0,23,75,26.16,3
2,249,21,0.0,24,88,13.68,3
2,231,30,0.0,15,84,17.16,3
1,293,29,0.0,21,97,4.92,3
2,251,24,0.0,19,77,24.12,3
1,266,24,0.0,1,96,5.16,3
2,270,29,0.0,22,80,21.36,3
3,260,29,0.0,15,92,9.48,3
3,232,25,0.0,7,75,25.56,3
1,223,30,0.0,11,86,15.12,3
2,293,27,0.0,16,93,8.64,3
2,270,26,0.0,22,88,13.68,3
1,297,25,0.0,13,86,15.24,3
1,274,21,0.0,11,96,5.52,3
3,295,22,0.0,11,97,4.56,3
2,242,30,0.0,12,85,16.08,3
1,233,23,0.0,21,72,28.92,3
1,278,25,0.0,16,72,28.8,3
3,229,29,0.0,6,78,22.56,3
3,246,22,0.0,19,96,5.88,3
3,236,26,0.0,9,96,5.4,3
3,296,26,0.0,9,85,15.96,3
2,287,22,0.0,4,79,21.6,3
1,209,25,0.0,14,91,10.44,3
1,299,25,0.0,5,73,27.36,3
3,242,21,0.0,13,91,10.44,3
3,285,22,0.0,21,81,20.28,3
3,230,24,0.0,12,78,22.8,3
2,229,30,0.0,20,99,3.0,3
2,219,28,0.0,15,87,14.28,3
2,264,21,0.0,11,90,11.28,3
2,248,30,0.0,24,88,13.68,3
3,295,27,0.0,23,82,19.44,3
2,204,27,0.0,22,75,26.16,3
2,265,27,0.0,7,82,18.84,3
1,212,27,0.0,10,84,17.04,3
1,278,24,0.0,12,100,1.68,3
1,287,22,0.0,16,89,12.48,3
1,290,23,0.0,3,95,6.12,3
2,203,28,0.0,17,85,16.32,3
1,205,22,0.0,11,78,22.8,3
2,235,23,0.0,23,87,14.64,3
3,238,26,0.0,11,72,28.56,3
3,209,27,0.0,4,87,13.92,3
2,210,21,0.0,22,79,22.32,3
2,247,24,0.0,20,72,28.92,3
1,201,21,0.0,21,75,26.04,3
2,235,23,0.0,16,77,24.0,3
3,297,26,0.0,18,100,1.92,3
1,268,23,0.0,10,78,22.8,3
2,279,23,0.0,7,96,5.4,3
3,224,27,0.0,2,92,9.0,3
3,295,27,0.0,6,71,29.28,3
3,204,30,0.0,6,82,18.72,3
2,245,26,0.0,8,91,10.2,3
3,248,21,0.0,15,95,6.6,3
2,280,26,0.0,6,78,22.56,3
2,216,29,0.0,8,72,28.44,3
1,243,26,0.0,15,93,8.52,3
2,284,28,0.0,9,90,11.16,3
2,277,27,0.0,10,88,13.2,3
2,285,24,0.0,8,81,19.8,3
2,276,21,0.0,5,77,23.52,3
2,292,29,0.0,14,95,6.6,3
1,273,24,0.0,20,93,8.76,3
2,227,21,0.0,21,99,3.0,3
2,286,21,0.0,9,76,24.6,3
3,284,22,0.0,12,85,16.08,3
2,240,21,0.0,13,92,9.48,3
2,289,26,0.0,4,81,19.68,3
2,222,21,0.0,22,99,3.12,3
3,293,28,0.0,21,94,7.8,3
1,291,27,0.0,5,91,10.08,3
1,300,28,0.0,1,89,11.88,3
3,223,27,0.0,23,78,23.28,3
1,232,22,0.0,18,81,20.16,3
3,203,30,0.0,16,76,24.96,3
3,214,30,0.0,11,80,20.88,3
3,294,30,0.0,12,100,1.68,3
3,244,21,0.0,4,80,20.64,3
2,239,26,0.0,21,100,2.04,3
1,271,30,0.0,7,97,4.44,3
2,282,28,0.0,11,90,11.28,3
3,280,23,0.0,17,84,17.28,3
1,263,26,0.0,10,96,5.52,3
1,299,27,0.0,6,82,18.72,3
1,279,24,0.0,7,99,2.52,3
2,281,24,0.0,2,89,11.88,3
2,291,28,0.0,12,98,3.6,3
3,225,28,0.0,23,81,20.4,3
3,238,24,0.0,20,99,3.0,3
1,213,22,0.0,7,83,17.88,3
2,219,29,0.0,20,99,3.0,3
1,291,21,0.0,19,94,7.8,3
2,278,25,0.0,10,90,11.28,3
3,256,30,0.0,22,74,27.12,3
1,251,30,0.0,18,72,28.8,3
1,230,25,0.0,18,80,21.12,3
3,217,29,0.0,4,86,14.88,3
2,296,21,0.0,21,92,9.72,3
1,276,26,0.0,13,71,29.64,3
1,290,22,0.0,24,100,2.16,3
3,265,27,0.0,18,72,28.8,3
2,257,30,0.0,19,89,12.6,3
1,247,28,0.0,3,76,24.36,3
1,205,22,0.0,6,90,11.04,3
2,224,21,0.0,21,83,18.36,3
1,298,26,0.0,3,83,17.64,3
1,243,30,0.0,13,86,15.24,3
3,215,23,0.0,13,97,4.68,3
2,228,24,0.0,20,91,10.68,3
2,256,24,0.0,3,77,23.4,3
3,298,28,0.0,4,83,17.76,3
1,288,25,0.0,17,79,22.08,3
3,269,27,0.0,8,80,20.76,3
3,293,27,0.0,23,77,24.24,3
3,245,30,0.0,2,86,14.76,3
1,253,28,0.0,17,92,9.6,3
3,216,22,0.0,15,73,27.72,3
2,210,30,0.0,2,92,9.0,3
1,289,26,0.0,21,87,14.52,3
3,277,24,0.0,8,94,7.32,3
